Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,latitude,longitude
143,Sigiriya Designated as a UNESCO World Heritage Site,Unknown,Unknown,1982,Sri Lanka,Cultural Heritage,Sigiriya,"Recognition of the ancient rock fortress for its historical, archaeological, and artistic value.",Global and local tourists,UNESCO,Positive,7.954108499999998,80.75469799999999
149,Invention of Paper by Cai Lun,Unknown,Unknown,105,China,Scientific,Imperial court,Revolutionized the way information was recorded and transmitted through ages.,Global population,Cai Lun,Positive,35.86166,104.195397
150,Introduction of Buddhism to China,Unknown,Unknown,0,China,Religious/Cultural,Han Dynasty China,"Significantly influenced Chinese culture, philosophy, and society for centuries.",Chinese society,Buddhist missionaries,Positive,35.86166,104.195397
151,Construction of the Great Wall,Unknown,Unknown,600,China,Architectural/Defensive,Northern China,A series of fortifications built across northern borders of China for protection and border control.,Chinese empire,Various Chinese dynasties,Mixed,35.86166,104.195397
152,Tang Dynasty's Golden Age,Unknown,Unknown,618,China,Cultural/Economic,Chang'an,"A period of relative peace, prosperity, and cultural achievement that influenced East Asia.",Chinese and neighboring countries,"Emperor Taizong, Wu Zetian",Positive,34.1577499,108.90688
153,Founding of the Song Dynasty,Unknown,Unknown,960,China,Dynastic Founding,Kaifeng,"Initiated advancements in technology, culture, and economics, including the use of gunpowder in warfare.",Chinese population,Emperor Taizu,Positive,34.7972599,114.30731
154,Mongol Conquest and the Yuan Dynasty Establishment,Unknown,Unknown,1271,China,Military/Political,Mongol Empire,"Marked the first time China was ruled by foreign conquerors, leading to significant cultural exchanges.",Chinese population,Kublai Khan,Mixed,35.86166,104.195397
155,Fall of the Ming Dynasty and Rise of the Qing,Unknown,Unknown,1644,China,Dynastic Transition,China,The transition brought about significant changes in administration and expansion of territory.,Chinese population,"Li Zicheng, Manchu leaders",Mixed,35.86166,104.195397
156,The Opium Wars and Treaty of Nanjing,Unknown,Unknown,1842,China,International Conflict,Nanjing,Led to the opening of treaty ports and the cession of Hong Kong to Britain.,Chinese population,"Qing Dynasty, British Empire",Negative,32.0583799,118.79647
157,Taiping Rebellion,Unknown,Unknown,1850,China,Civil War,Southern China,"One of the deadliest military conflicts in history, challenging the Qing Dynasty's rule.",Chinese population,Hong Xiuquan,Negative,35.86166,104.195397
158,Xinhai Revolution and the End of Imperial China,10,October,1911,China,Political,Wuchang,"Overthrew the Qing Dynasty, leading to the establishment of the Republic of China.",Chinese population,Sun YatUnknownsen,Positive,30.5538599,114.31599
159,Long March,Unknown,Unknown,1934,China,Military/Strategic Retreat,Jiangxi to Shaanxi,A strategic retreat by the Chinese Communist Party's Red Army to evade the pursuit of the Kuomintang army.,CCP followers,Mao Zedong,Positive,34.2648599,108.95424
160,Cultural Revolution,Unknown,Unknown,1966,China,Political/Social Movement,Nationwide,Aimed at preserving Chinese communism by purging remnants of capitalist and traditional elements.,Chinese population,Mao Zedong,Negative,35.86166,104.195397
161,Handover of Hong Kong,1,July,1997,China,International Agreement,Hong Kong,Marked the return of Hong Kong from British to Chinese sovereignty.,Residents of Hong Kong,British and Chinese governments,Mixed,22.3193039,114.1693611
162,China Hosts the Olympic Games,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive,39.904211,116.407395
163,Silk Road Establishment,Unknown,Unknown,150,China,Trade Route Development,China to the Mediterranean,"Facilitated trade and cultural exchanges between the East and West, significantly impacting ancient world economies.","Traders, various civilizations",Han Dynasty,Positive,35.86166,104.195397
164,Invention of Gunpowder,Unknown,Unknown,850,China,Scientific,China,"Led to revolutionary changes in warfare and later, global military technologies.",Global population,Chinese alchemists,Mixed,35.86166,104.195397
165,Invention of the Compass,Unknown,Unknown,1050,China,Scientific,China,"Revolutionized navigation and exploration, contributing to the Age of Discovery.",Global population,Chinese scientists,Positive,35.86166,104.195397
166,Invention of Printing Technology,Unknown,Unknown,650,China,Scientific,China,"Pioneered the use of woodblock and movable type printing, transforming information dissemination.",Global population,Chinese inventors,Positive,35.86166,104.195397
167,Battle of Red Cliffs,Unknown,Unknown,208,China,Military,Yangtze River,A decisive battle that marked the beginning of the Three Kingdoms period in Chinese history.,Chinese states,"Sun Quan, Liu Bei",Positive,29.720415,112.650141
168,The Grand Canal Construction,Unknown,Unknown,650,China,Infrastructure,Hangzhou to Beijing,"The world's longest canal, crucial for internal trade and transportation in Imperial China.",Chinese population,Sui Dynasty,Positive,39.904211,116.407395
169,Zheng He's Expeditions,Unknown,Unknown,1430,China,Exploration,"Southeast Asia, Africa",Demonstrated China's naval capabilities and established international trade routes.,"Asia, Africa",Zheng He,Positive,35.86166,104.195397
170,Ming Dynasty's Voyages of Zheng He,Unknown,Unknown,1430,China,Exploration,"Southeast Asia, Africa",Demonstrated China's naval capabilities and established international trade routes.,"Asia, Africa",Zheng He,Positive,35.86166,104.195397
171,Qing Dynasty's Establishment,Unknown,Unknown,1644,China,Dynastic Transition,China,"The last imperial dynasty of China, known for its expansion, arts, and internal consolidation.",Chinese population,Manchu leaders,Mixed,35.86166,104.195397
172,Boxer Rebellion,Unknown,Unknown,1900,China,AntiUnknownImperialist Uprising,Northern China,An antiUnknownforeigner movement that aimed to rid China of foreign influence.,"Foreigners, Chinese Christians",Boxer militants,Negative,35.86166,104.195397
173,May Fourth Movement,4,May,1919,China,Cultural and Political Movement,Beijing,"A studentUnknownled protest against the Treaty of Versailles' decisions, sparking significant cultural and intellectual reform.","Chinese intellectuals, students","Chinese students, intellectuals",Positive,39.904211,116.407395
174,OneUnknownChild Policy Introduced,Unknown,Unknown,1979,China,Population Control Policy,Nationwide,Aimed to control the rapidly growing population of China through strict family planning.,Chinese families,Chinese government,Mixed,35.86166,104.195397
175,SinoUnknownJapanese War (Second),Unknown,Unknown,1937,China,Military Conflict,China,"A major part of WWII in Asia, resulting in significant casualties and atrocities like the Nanjing Massacre.",Chinese population,"Imperial Japanese Army, Nationalist China",Negative,35.86166,104.195397
176,Deng Xiaoping's Southern Tour,Unknown,Unknown,1992,China,Economic Reform,Southern China,"Reaffirmed the commitment to economic reforms and openingUnknownup policies, leading to rapid economic growth.",Chinese citizens,Deng Xiaoping,Positive,35.86166,104.195397
177,Return of Hong Kong,1,July,1997,China,Sovereignty Transition,Hong Kong,Marked the transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments,Mixed,22.3193039,114.1693611
178,Return of Macau,20,December,1999,China,Sovereignty Transition,Macau,"Similar to Hong Kong's return, marked the transfer of sovereignty over Macau from Portugal to China.",Residents of Macau,Portuguese and Chinese governments,Mixed,22.198745,113.543873
179,2008 Beijing Olympics,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive,39.904211,116.407395
180,Shanghai Cooperation Organization Establishment,15,June,2001,China,International Organization,Shanghai,"Founded to promote multilateral cooperation in security, economy, and culture among member states.",Member states,"China, Russia, Central Asian states",Positive,31.230416,121.473701
183,Three Kingdoms Period Begins,Unknown,Unknown,220,China,Historical Period,China,"A period of fragmentation and warfare among rival kingdoms Wei, Shu, and Wu.",Chinese population,"Cao Cao, Liu Bei, Sun Quan",Mixed,35.86166,104.195397
184,An Lushan Rebellion,Unknown,Unknown,755,China,Military Rebellion,"Chang'an, Luoyang",A devastating rebellion against the Tang dynasty that significantly weakened it.,"Tang dynasty, rebels",An Lushan,Negative,34.57708,111.87396
185,Marco Polo's Visit to Yuan Dynasty China,Unknown,Unknown,1290,China,Exploration,Yuan Dynasty China,Enhanced knowledge and interest in China among Europeans through his detailed accounts.,European and Chinese societies,Marco Polo,Positive,35.86166,104.195397
186,Forbidden City Completion,Unknown,Unknown,1420,China,Architectural,Beijing,"Served as the imperial palace for Ming and Qing dynasties, symbolizing imperial power and architectural brilliance.","Chinese emperors, court",Ming Dynasty emperors,Positive,39.904211,116.407395
187,Jesuit Missionaries Arrive in Ming Dynasty,Unknown,Unknown,1530,China,Cultural/Religious Exchange,Ming Dynasty China,"Introduced Western science, technology, and religion to the Chinese imperial court.",Ming Dynasty society,Matteo Ricci and other Jesuits,Mixed,35.86166,104.195397
188,Treaty of Nanking Signed,Unknown,Unknown,1842,China,International Agreement,Nanking,"Ended the First Opium War, ceding Hong Kong to Britain and opening up ports to foreign trade under unequal terms.","Qing Dynasty, British Empire","Qing Dynasty, British Empire",Negative,32.0583799,118.79647
189,Establishment of the People's Republic of China,1,October,1949,China,Political,Beijing,"Marked the victory of the Communist Party in the Chinese Civil War, establishing a socialist state.",Chinese citizens,Mao Zedong,Positive,39.904211,116.407395
190,Economic Reform and OpeningUnknownup Policy Initiated,Unknown,Unknown,1978,China,Economic Policy,Nationwide,"Introduced by Deng Xiaoping, leading to significant economic growth and opening China to the global market.",Chinese citizens,Deng Xiaoping,Positive,35.86166,104.195397
191,Founding of the People's Republic of China,1,October,1949,China,Political,Beijing,"Establishment of a communist government in China, significantly altering the country's political landscape.",Chinese citizens,Mao Zedong,Positive,39.904211,116.407395
192,Great Leap Forward,Unknown,Unknown,1958,China,Economic Policy,Nationwide,"Aimed at rapidly transforming China from an agrarian society into an industrial one, leading to widespread famine.",Chinese rural population,Mao Zedong,Negative,35.86166,104.195397
193,Cultural Revolution,Unknown,Unknown,1966,China,Political/Social Movement,Nationwide,"Aimed at preserving Chinese communism by purging remnants of capitalist and traditional elements, causing social and political upheaval.",Chinese population,Mao Zedong,Negative,35.86166,104.195397
194,SinoUnknownAmerican Rapprochement,Unknown,Unknown,1972,China,International Relations,"Beijing, Shanghai","Normalization of relations between China and the United States, marked by President Nixon's visit.",Chinese and American populations,"Mao Zedong, Zhou Enlai, Richard Nixon",Positive,39.904211,116.407395
195,Reform and OpeningUnknownup Policy,Unknown,Unknown,1978,China,Economic Reform,Nationwide,"Initiated by Deng Xiaoping, leading to significant economic growth and opening China to the global market.",Chinese citizens,Deng Xiaoping,Positive,35.86166,104.195397
196,Tiananmen Square Protests,Unknown,June,1989,China,Political,Beijing,ProUnknowndemocracy protests calling for political reform; violently suppressed by the government.,"Protesters, general public","Chinese government, protesters",Negative,39.904211,116.407395
197,Hong Kong Handover,1,July,1997,China,Sovereignty Transition,Hong Kong,Transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments,Mixed,22.3193039,114.1693611
